nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y,x
7709,-0.95511246,-0.045968022,-1.4501115,0.057158094,-0.046871636,0.10466223,0.049829323,0.027982233,-0.13108255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7710,-0.95484656,-0.044557773,-1.4513783,-0.013149357,0.0,0.020506341,0.31064767,0.070778586,-0.14275427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7711,-0.9538221,-0.044358656,-1.4509703,-0.05149888,0.061785337,0.016245283,-0.20395605,-0.21697453,0.0077811554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7712,-0.95157087,-0.04230071,-1.4491231,-0.03551991,0.014913702,0.11318435,-0.04833295,-0.026635494,0.06404489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7713,-0.9497938,-0.03908218,-1.450555,-0.026997795,-0.07243798,0.087618,0.27787703,0.2033575,-0.05117606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7714,-0.94712645,-0.038558494,-1.4521484,-0.042976763,-0.020240024,-0.011451593,0.08723872,0.16280572,0.14410101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7715,-0.94466,-0.038925543,-1.4494551,-0.009953564,0.07669904,0.002396845,-0.20814592,0.015113398,0.3863643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7716,-0.94377524,-0.03894154,-1.4484718,0.042244393,0.014913702,0.033289514,-0.14230536,0.09651626,0.21877018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7717,-0.943926,-0.03833794,-1.4478558,0.04650545,-0.004261058,0.024767399,1.496376E-4,0.15457565,0.17372926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7718,-0.94466317,-0.038289797,-1.4467711,0.04863598,0.07989483,0.0034621095,-0.15861586,-0.03232172,0.06823475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7719,-0.94636005,-0.037899416,-1.4454741,0.068876006,0.03621899,0.025832662,-0.071975686,-0.03815759,-0.13377602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7720,-0.9477314,-0.0366753,-1.4461273,0.033722278,-0.008522116,0.038615834,0.07766192,-0.064493805,-0.2498948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7721,-0.9475756,-0.03544715,-1.4467798,-0.023802003,-0.014913702,0.09081379,0.006135142,-0.13617022,-0.20949265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7722,-0.9475607,-0.032165486,-1.4494284,6.9907977E-4,-0.09161274,0.07590009,0.51669866,0.005686229,-0.187047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7723,-0.94658583,-0.032312058,-1.4516517,-0.05256414,0.0,-0.06471481,0.6452374,0.041150343,-0.20410569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7724,-0.9434091,-0.036641043,-1.4506513,-0.07919575,0.054328486,-0.16804546,0.35075054,0.023193829,-0.074818805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7725,-0.93747455,-0.04178462,-1.4472994,-0.13032845,0.07669904,-0.15100123,0.17896658,0.12000936,0.21158758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7726,-0.9348603,-0.04483467,-1.4477978,-0.07599996,-0.049002163,-0.19254655,0.6985083,0.24929625,0.05566519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7727,-0.93046886,-0.05439208,-1.4504642,-0.057890464,-0.05752428,-0.49295112,2.0049944,0.3096002,0.11267712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7728,-0.9235299,-0.08003445,-1.4478244,-0.17506956,0.24607608,-1.0149307,2.4096143,0.28924948,-0.23089083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
